# Time-averaged data for fix 3
tstep t T P Etot Eke Epe Epair
6025 24100 124.182 -60.6038 -587.487 369.794 -957.281 -957.281
6050 24200 130.943 -49.0963 -567.062 389.926 -956.988 -956.988
6075 24300 134.903 -33.3703 -553.919 401.718 -955.637 -955.637
6100 24400 129.295 -20.2617 -565.968 385.018 -950.986 -950.986
6125 24500 125.966 -22.8785 -574.58 375.105 -949.685 -949.685
6150 24600 132.514 -55.5621 -564.39 394.604 -958.994 -958.994
6175 24700 133.658 -73.5491 -564.791 398.009 -962.8 -962.8
6200 24800 127.857 -88.3071 -583.226 380.737 -963.963 -963.963
6225 24900 126.822 -103.106 -589.878 377.653 -967.531 -967.531
6250 25000 128.804 -69.4918 -578.415 383.557 -961.972 -961.972
6275 25100 132.134 -22.2 -559.761 393.473 -953.234 -953.234
6300 25200 134.47 -47.4253 -560.354 400.429 -960.783 -960.783
6325 25300 126.428 -35.2534 -576.96 376.48 -953.44 -953.44
6350 25400 129.375 -60.5628 -574.803 385.257 -960.06 -960.06
6375 25500 131.353 -76.8409 -572.021 391.147 -963.168 -963.168
6400 25600 129.363 -78.2757 -576.461 385.22 -961.681 -961.681
6425 25700 126.433 -72.2938 -582.938 376.495 -959.433 -959.433
6450 25800 130.198 -63.7419 -572.719 387.706 -960.425 -960.425
6475 25900 133.649 -28.0658 -557.469 397.983 -955.452 -955.452
6500 26000 131.66 -29.6238 -563.864 392.061 -955.925 -955.925
6525 26100 127.311 -69.6452 -584.205 379.11 -963.315 -963.315
6550 26200 126.02 -66.2298 -586.5 375.267 -961.767 -961.767
6575 26300 128.452 -41.1379 -574.632 382.509 -957.142 -957.142
6600 26400 130.059 -34.0723 -568.549 387.293 -955.842 -955.842
6625 26500 131.82 -56.6413 -568.213 392.539 -960.752 -960.752
6650 26600 128.441 -74.2205 -579.347 382.475 -961.822 -961.822
6675 26700 124.998 -102.113 -593.038 372.222 -965.26 -965.26
6700 26800 127.118 -104.321 -586.642 378.537 -965.179 -965.179
6725 26900 135.088 -86.0259 -563.723 402.268 -965.991 -965.991
6750 27000 129.987 -47.9845 -570.569 387.08 -957.65 -957.65
6775 27100 127.783 -53.3292 -579.27 380.515 -959.784 -959.784
6800 27200 130.202 -71.5715 -578.321 387.721 -966.042 -966.042
6825 27300 131.105 -44.999 -570.423 390.408 -960.831 -960.831
6850 27400 131.365 -16.378 -562.618 391.182 -953.8 -953.8
6875 27500 131.412 -15.8411 -561.813 391.322 -953.135 -953.135
6900 27600 127.841 -18.5018 -571.592 380.689 -952.281 -952.281
6925 27700 126.892 -34.2454 -578.915 377.862 -956.777 -956.777
6950 27800 129.786 -20.1034 -569.04 386.481 -955.52 -955.52
6975 27900 136.944 -23.9581 -552.064 407.796 -959.86 -959.86
7000 28000 131.906 -53.8145 -570.083 392.792 -962.875 -962.875
7025 28100 130.129 -99.3468 -583.67 387.502 -971.172 -971.172
7050 28200 127.946 -95.4952 -585.606 381.001 -966.607 -966.607
7075 28300 131.641 -114.336 -578.393 392.005 -970.397 -970.397
7100 28400 132.621 -101.01 -571.154 394.922 -966.077 -966.077
7125 28500 132.587 -118.242 -575.25 394.823 -970.072 -970.072
7150 28600 125.933 -125.61 -595.096 375.008 -970.104 -970.104
7175 28700 127.521 -127.702 -594.134 379.736 -973.87 -973.87
7200 28800 133.01 -96.6492 -575.548 396.081 -971.63 -971.63
7225 28900 133.618 -62.0493 -569.227 397.892 -967.118 -967.118
7250 29000 125.242 -48.393 -590.922 372.948 -963.871 -963.871
7275 29100 120.515 -51.1973 -605.149 358.873 -964.022 -964.022
7300 29200 125.491 -34.2761 -587.191 373.689 -960.88 -960.88
7325 29300 133.166 -55.2785 -570.474 396.546 -967.019 -967.019
7350 29400 132.585 -77.2448 -573.167 394.815 -967.981 -967.981
7375 29500 127.208 -111.826 -590.236 378.805 -969.041 -969.041
7400 29600 128.871 -159.34 -593.778 383.757 -977.535 -977.535
7425 29700 131.609 -146.639 -582.464 391.91 -974.374 -974.374
7450 29800 135.932 -98.8067 -561.948 404.782 -966.73 -966.73
7475 29900 129.564 -60.7265 -571.217 385.819 -957.035 -957.035
7500 30000 126.784 -92.2725 -586.915 377.541 -964.456 -964.456
7525 30100 126.89 -113.541 -591.611 377.856 -969.466 -969.466
7550 30200 133.2 -103.294 -574.95 396.648 -971.598 -971.598
7575 30300 133.675 -64.1277 -567.586 398.06 -965.646 -965.646
7600 30400 126.347 -31.5911 -580.115 376.241 -956.356 -956.356
7625 30500 128.255 -55.9024 -580.97 381.923 -962.893 -962.893
7650 30600 135.591 -57.4417 -562.004 403.766 -965.77 -965.77
7675 30700 133.25 -18.5077 -559.386 396.795 -956.181 -956.181
7700 30800 123.938 -13.7475 -581.695 369.065 -950.76 -950.76
7725 30900 128.392 -55.4422 -580.002 382.328 -962.33 -962.33
7750 31000 133.918 -43.0301 -563.899 398.786 -962.685 -962.685
7775 31100 136.638 15.9994 -544.178 406.885 -951.063 -951.063
7800 31200 138.096 13.7583 -542.165 411.227 -953.392 -953.392
7825 31300 129.047 -4.15982 -569.372 384.28 -953.651 -953.651
7850 31400 129.466 -30.7042 -574.307 385.527 -959.834 -959.834
7875 31500 130.265 -38.0459 -574.302 387.907 -962.209 -962.209
7900 31600 128.744 -23.7791 -576.089 383.376 -959.465 -959.465
7925 31700 129.487 -22.9943 -573.798 385.591 -959.388 -959.388
7950 31800 135.123 -48.5848 -564.858 402.374 -967.232 -967.232
7975 31900 127.342 -24.9922 -579.351 379.202 -958.553 -958.553
8000 32000 125.72 -30.2141 -585.839 374.373 -960.211 -960.211
8025 32100 131.335 -8.07818 -565.002 391.094 -956.096 -956.096
8050 32200 135.255 -18.2303 -554.838 402.767 -957.605 -957.605
8075 32300 133.433 -61.6774 -568.069 397.342 -965.411 -965.411
8100 32400 128.607 -70.4142 -581.718 382.971 -964.688 -964.688
8125 32500 128.457 -79.2547 -584.581 382.523 -967.104 -967.104
8150 32600 130.715 -57.3428 -573.549 389.247 -962.796 -962.796
8175 32700 136.967 -46.6453 -555.105 407.863 -962.968 -962.968
8200 32800 126.796 -14.7537 -571.945 377.578 -949.523 -949.523
8225 32900 125.2 -49.5686 -582.527 372.824 -955.351 -955.351
8250 33000 130.958 -72.8947 -570.38 389.971 -960.35 -960.35
8275 33100 130.035 -64.6995 -568.393 387.221 -955.614 -955.614
8300 33200 128.875 -56.3476 -567.682 383.767 -951.45 -951.45
8325 33300 133.358 -85.4415 -562.092 397.117 -959.21 -959.21
8350 33400 130.963 -103.12 -572.688 389.986 -962.674 -962.674
8375 33500 125.38 -109.14 -589.994 373.361 -963.355 -963.355
8400 33600 128.817 -104.449 -582.877 383.596 -966.473 -966.473
8425 33700 129.007 -41.1539 -569.584 384.161 -953.745 -953.745
8450 33800 132.187 -43.5462 -564.179 393.631 -957.811 -957.811
8475 33900 129.308 -34.2484 -568.892 385.058 -953.95 -953.95
8500 34000 130.376 -63.0867 -571.251 388.237 -959.488 -959.488
8525 34100 129.198 -82.4783 -577.957 384.731 -962.688 -962.688
8550 34200 123.871 -78.7497 -590.426 368.867 -959.294 -959.294
8575 34300 131.47 -89.249 -574.084 391.496 -965.581 -965.581
8600 34400 134.837 -72.5398 -563.341 401.523 -964.864 -964.864
8625 34500 127.704 -34.9296 -575.579 380.281 -955.861 -955.861
8650 34600 126.287 -8.5443 -574.549 376.063 -950.612 -950.612
8675 34700 131.278 -30.9278 -566.194 390.925 -957.118 -957.118
8700 34800 133.135 -79.5059 -569.697 396.453 -966.15 -966.15
8725 34900 128.042 -102.548 -584.759 381.288 -966.047 -966.047
8750 35000 127.236 -113.924 -588.625 378.886 -967.511 -967.511
8775 35100 130.976 -73.2714 -569.962 390.023 -959.985 -959.985
8800 35200 137.127 -53.3231 -551.597 408.341 -959.938 -959.938
8825 35300 133.519 -71.7644 -567.088 397.597 -964.685 -964.685
8850 35400 126.821 -56.6427 -583.024 377.652 -960.676 -960.676
8875 35500 127.131 -28.3526 -576.974 378.575 -955.549 -955.549
8900 35600 133.099 -20.2253 -560.535 396.346 -956.881 -956.881
8925 35700 132.42 -24.4532 -564.082 394.326 -958.408 -958.408
8950 35800 127.914 -14.2858 -573.003 380.906 -953.91 -953.91
8975 35900 130.588 -35.6424 -570.737 388.868 -959.605 -959.605
9000 36000 131.61 -57.2498 -572.942 391.913 -964.855 -964.855
9025 36100 127.163 -33.1856 -577.832 378.669 -956.501 -956.501
9050 36200 132.306 -52.6045 -568.1 393.985 -962.086 -962.086
9075 36300 140.778 -53.2253 -545.156 419.214 -964.37 -964.37
9100 36400 131.518 -56.0943 -568.108 391.637 -959.745 -959.745
9125 36500 126.754 -46.2568 -578.427 377.453 -955.88 -955.88
9150 36600 129.701 -27.4595 -567.414 386.228 -953.642 -953.642
9175 36700 134.29 -33.097 -556.299 399.893 -956.191 -956.191
9200 36800 130.574 -61.4857 -570.833 388.828 -959.661 -959.661
9225 36900 126.669 -95.3164 -588.456 377.2 -965.656 -965.656
9250 37000 127.724 -85.9594 -583.764 380.34 -964.104 -964.104
9275 37100 130.376 -77.3226 -574.191 388.239 -962.43 -962.43
9300 37200 131.622 -71.1165 -567.322 391.948 -959.27 -959.27
9325 37300 131.407 -79.6587 -569.066 391.306 -960.372 -960.372
9350 37400 124.615 -94.8532 -591.095 371.083 -962.178 -962.178
9375 37500 127.344 -101.13 -588.764 379.21 -967.974 -967.974
9400 37600 130.632 -36.2781 -568.947 388.999 -957.946 -957.946
9425 37700 132.645 -12.59 -561.957 394.995 -956.952 -956.952
9450 37800 131.556 -24.0178 -569.559 391.753 -961.312 -961.312
9475 37900 129.251 -29.6357 -576.884 384.886 -961.77 -961.77
9500 38000 128.072 -19.4172 -576.847 381.376 -958.223 -958.223
9525 38100 130.222 -24.6529 -570.98 387.777 -958.757 -958.757
9550 38200 130.212 -19.6222 -567.186 387.749 -954.935 -954.935
9575 38300 132.171 -53.3224 -568.846 393.583 -962.429 -962.429
9600 38400 132.097 -78.6636 -575.195 393.363 -968.559 -968.559
9625 38500 126.744 -45.7563 -582.288 377.421 -959.71 -959.71
9650 38600 129.442 -24.77 -572.354 385.455 -957.809 -957.809
9675 38700 135.251 -7.29436 -555.441 402.756 -958.196 -958.196
9700 38800 131.145 -9.39773 -568.261 390.526 -958.786 -958.786
9725 38900 123.529 -22.2801 -591.436 367.849 -959.286 -959.286
9750 39000 128.111 -28.5525 -581.163 381.492 -962.655 -962.655
9775 39100 132.558 -21.0091 -566.737 394.735 -961.472 -961.472
9800 39200 132.594 -31.5281 -567.099 394.841 -961.94 -961.94
9825 39300 128.515 -78.8115 -586.852 382.694 -969.546 -969.546
9850 39400 124.564 -76.3591 -594.759 370.929 -965.688 -965.688
9875 39500 129.789 -79.9611 -582.766 386.491 -969.256 -969.256
9900 39600 129.663 -60.4735 -579.341 386.114 -965.455 -965.455
9925 39700 129.449 -37.6488 -576.759 385.478 -962.237 -962.237
9950 39800 129.837 13.2158 -565.878 386.633 -952.511 -952.511
9975 39900 139.065 4.82209 -544.909 414.111 -959.02 -959.02
